<new sheet>
sheet_name: 2.06(Base period 1997-100)
,2.06 Trade Indices - Monthly (2006 -2010),,,,,,,,,,,,,,
,            June,136.2926598696094,74.2956742703972,144.8721116071733,137.1972087774503,135.6139088213184,44.55315784130541,100.75333789744718,145.55410788469155,126.36787054310606,302.93812787322,235.84512661898899,298.19843744572347,137.82469534462527,
,            July,180.75403479638578,69.05095375615603,171.54202127387407,174.7420495606003,161.53168286520426,61.61255300768971,191.659640604876,199.41910406243815,162.6411138835296,59.752018819639396,448.7564900616981,87.23269093345493,170.24241367929008,
,            August,149.04950925467188,66.93798060940783,182.155375369154,156.98257132855082,133.1596703801415,75.94715982294589,142.0282209153863,273.6657944244102,149.08540441996186,134.7206680773173,109.31178369396766,132.9256932836158,154.68888962044787,
,            September,132.42171163716213,52.93130119950789,185.52109350791204,146.6220500524163,122.06429721727352,83.70287136984135,131.40415091492437,241.75086265801147,136.59605873831035,77.80667871977118,244.6102106924004,89.5902789311781,143.1948784751844,
,            October,147.9871598688538,51.72332037873605,200.39756819022617,161.4998020126483,122.96193229876307,82.7316492294042,197.69776758574852,127.17049467904185,128.83329037769053,110.65531132507168,163.90724932492654,114.41721936414056,153.03166889021287,
,            November,159.751183780447,52.71909921062493,311.84508433092157,203.83715942541548,109.41398980807139,75.53513321579844,164.50827169543743,158.28308047720097,119.67714116925484,247.9662048422358,337.73394935544167,254.30772052067425,185.36104980259594,
,            December,220.59928639306796,52.264741757527545,172.5961906686119,200.97013645616875,117.24053181949161,96.0297751038809,171.4289911494776,160.32775341909982,127.5521386902736,82.1607794952041,242.78417869314222,93.50779294487313,181.90602648703745,

,2009(b)January,131.21798604995226,52.86324286094465,148.01636097547754,134.20588922068927,84.14385289871008,89.23133641502078,138.2901153992451,184.03064978332995,104.15161074557197,255.78845476368946,215.4845366570516,252.9412413245889,129.56659271462706,
,            February,162.05115316032922,50.65326813414809,174.35886586303474,162.71371662495193,96.8427156320093,104.44697371848754,122.26180181525982,185.55112417971745,112.32984189912821,89.28928597729589,138.44931021086802,92.76212654068723,149.70458807749867,
,            March,171.36990072084603,55.30000702243286,318.94022563996555,213.79910958024226,138.08915777802352,144.4820635827118,145.61184444528485,208.78549453576423,149.0460834405434,99.72852145707661,171.83420331939695,104.82232563489161,196.70887573778887,
,            April,122.9711781086764,55.73620057970071,230.65565841079237,154.42624835952154,72.2026866374434,86.6288608680827,87.9284201260628,137.93383629078642,83.98501580856433,548.3674959831311,222.9292682802735,525.3773714731263,145.35473418810713,
,            May,107.47387038901473,56.7332817773086,239.35191124011416,146.88949349589814,121.54586860192127,103.62992720938601,126.85965343391626,164.05710435338338,126.61075285530781,109.60471319195346,223.71122007164465,117.66560640380145,141.6327189155011,
,            June,129.30338285661634,51.9886306649161,255.0680175338618,166.0739224889453,125.89331394919449,54.17665387861356,103.30847546567931,172.9199832831091,124.50152977891734,103.01337540626254,264.8394335585847,114.4453490012087,155.45834967366332,
,            July,151.03979605295058,55.634625843612284,204.46680806670292,164.89161937075085,131.21017674027755,54.88226555323337,141.4068144484841,235.41024086367142,140.91152078005496,173.35323906513207,867.1310479761277,222.36419368385393,160.4652025170861,
,            August,155.12383221402817,48.518598695579186,298.8813516396705,196.63961210158024,131.70507716665614,84.09733928128655,127.92065876960035,240.06901339632068,142.55326907316731,95.19520818982596,128.91498239962675,97.57729407139111,182.20832116554766,
,            September,129.22833743774945,54.80722506874999,242.45942908516335,162.19832478724553,115.42729581146916,70.98574010933724,114.57970021542124,233.41223839170064,128.14847071078609,169.00779126566135,250.72551083803273,174.78062428808616,154.57075069738954,
,            October,147.40645942623672,65.33162981139147,271.65277388724405,183.5720917700145,118.6408704574055,79.2604209451972,131.62170252417206,181.999849387675,125.8112486177009,141.16753366259238,245.11497695612,148.51075415848578,169.53597748390433,
,            November,167.55928776008284,54.16303812755132,257.43088764335033,192.19142278047238,112.68709085447232,84.39958684341765,173.5945189650039,182.36136421321362,126.8480232835693,456.17765693134487,221.04610162204165,439.5671198996362,181.89517751845023,
,            December,205.78411440346224,58.84993690789662,227.66253527703415,208.40647214577604,129.33621384107767,111.30189378495537,114.34884253023496,167.4696158099283,131.54670912781305,88.40379394643405,195.16720885202244,95.94594478445379,188.44942414140758,

,2010(c)January,96.97130514290112,59.90905192677702,183.69896747115584,122.78797755611816,99.4320784504062,119.92469640608255,67.90212045778357,214.5929008885874,113.1783092715174,241.327541741701,246.4168073090047,241.68706572842706,122.8786312872946,
,            February,144.2378091526971,53.687578734026204,226.17085230726312,167.0568961026268,120.14353935672223,151.0502467490082,92.22071913986126,240.29216911904368,135.7411962701771,340.36420310439496,193.49302664677788,329.9886960303628,162.98551047044936,
,            March,143.6553765468736,59.473098601133366,326.52431815615523,197.9202788963643,115.54086070239427,104.25656079244423,93.3190044750954,155.1799947795574,117.65561272269211,122.991666728193,215.36676310760106,129.51737510110524,178.032871805757,
,            April,112.61390426196361,68.47574745274666,243.45217441937066,151.8941380432207,101.35272320877418,76.80378183779443,82.37421587334131,156.41697322853992,104.9500607665692,548.9158634791143,268.13179890118164,529.0802693307652,148.37639481431216,
,            May,114.13188148564825,61.08651730340282,256.82466822294936,156.83229533702087,116.25205873465815,57.95539242146239,114.26742576497168,226.78995366955945,126.804832264368,128.23382402024913,230.36091133630623,135.44844803603638,149.4741056544725,
,            June,141.89446666853263,62.436083406447715,275.27782157984086,180.96435726998854,142.46903418098324,29.61136554947803,130.57259125932134,219.85945710180525,143.3593382573196,76.3420867902313,248.31299860719773,88.49072926127184,170.47166525493878,
,            July,121.8892459570364,75.75254537892464,225.16366848563217,152.57483216073308,141.60510895423832,31.419189354501242,114.51117063963216,246.00689102780774,144.69761192368287,103.48434778997321,199.73646620717565,110.2839429155454,149.93113993148958,
,            August,151.85071935431213,67.9808340705689,350.4632659430851,211.00117098765446,139.20432958480592,57.4763971520045,100.16388766118844,278.91574251098086,147.90117212299208,93.19610881783962,130.69400915674169,95.84509509010456,194.17293750302403,
,            September,130.90597479868325,71.83995543643702,263.889134721459,170.42851040920937,140.06744555428577,101.53248676077428,109.15171188528618,265.14550344917166,150.8646903647897,97.32430496218757,356.62322915156386,115.64211167623785,164.83987478987066,
,            October,165.1120499249994,76.94291688308701,302.18413131435136,205.07825232452467,143.22955197842765,103.96790574367452,134.1516115407126,239.12695013070035,152.40780152091895,119.48149079239589,590.678957061925,152.7685710927047,191.88357725090663,
,            November,168.91891853880495,75.57562038067098,320.32357716700295,213.17845593761268,132.70679387041363,93.46525236335327,126.5643270219095,203.2307841430009,138.747941021057,460.06094393593696,232.80276689602164,444.00661060532786,200.45945899242093,
,            December,206.82119237173475,85.25557465693637,317.478192935941,237.66078805706465,143.19699304514415,78.55312532478523,83.85192673348435,188.8969831864007,138.0772320452131,95.94351340111645,400.58579983004023,117.46453797604217,212.2995829266576,

,,,,,,,,,,,,  Source : Central Bank of Sri Lanka,,,
,"(a) A  series with a wide coverage and 1997 as the base year.In order to accommodate the variability arising from a monthly frequency, in computing the monthly trade indices, ",,,,,,,,,,,,,,
,      first the volume index is computed as a Laspeyres index and then the unit value index is derived as the ratio between the value index and the volume index. This methodology   ,,,,,,,,,,,,,,
,      avoids the subjective imputation of prices that would be required in deriving  a price index first when certain items are not exported  or imported in a particular month.,,,,,,,,,,,,,,
,(b) Revised,,,,,,,,,,,,,,
,(c) Provisional,,,,,,,,,,,,,,

,Table 2.6.4 : Trade Indices (Imports) - Value (a) ,,,,,,,,,,,,,,

,,,,,,,,,,,,,,Base Period 1997=100,
,,Imports ,,,,,,,,,,,,,
,Period,Consumer Goods,,,Intermediate Goods,,,,,,,Investment Goods,,,
,,Food & ,Other Cons.,Total ,Crude Oil,Refined Petro. ,Fertiliser,Chemicals,Wheat,Textiles ,Total ,Machinery & ,Transport ,Building ,Total 
,, Drink,Goods,,,Products,,,,,,Equipment ,Equipment , Materials,

,2006    January,126.7,266.7,183.8,295.6,466.3,476.4,277.8,210,165.4,247.3,248,259.2,293.2,262.7
,            February,152.1,320.2,220.6,911.2,454.1,512.3,291.5,160.4,156.6,294.7,235.1,327.4,341.3,272.5
,            March,236.9,386,297.7,899.4,696.6,446,324.6,308.8,164.1,343,265.2,283.6,412.6,303.9
,            April,194.4,383.2,271.4,711,517.8,729,290.9,138.7,171.3,302.3,243.5,261.1,295.3,255.4
,            May,239.6,420.9,313.5,652.4,762.1,415.3,392.8,452.6,231,373.7,238,288.8,408.9,303.8
,            June,195.7,429.5,291,750.9,943.3,546.8,362,171.6,209.4,383.7,245.4,302.1,413.6,311.6
,            July,169.5,381,255.7,623.8,1016.6,376.9,354.4,340.2,186.2,353.7,294.5,315.8,287.3,297.5
,            August,233.3,468.1,329.1,1074.3,559.9,581.2,400.2,174.1,227.9,393.4,243.2,466.3,365.5,351.6
,            September,229,487.7,334.4,726.7,307.7,13,336.4,330.1,172.2,297.2,207.3,235,302.7,261.6
,            October,240.1,438.2,320.9,857.2,709.1,284.3,327,0,229.1,353.1,234.2,294,333.1,321.1
,            November,242.6,448,326.4,299.9,872.1,550.7,346.6,563.9,197.6,339.6,283.6,370.5,395.7,336.3
,            December,239,478.2,336.5,414,707.4,288.7,352,202.6,250.3,346.8,295.3,303.9,404.6,305.8

,2007    January,217.2,343.8,268.8,0,608.2,56.9,371.5,212.6,203.7,282,297.1,513.5,451.9,377.4
,            February,195.1,409.7,282.6,460.1,1113.7,245.9,334.2,212.6,159.1,312.2,192.9,234.4,385.3,250.4
,            March,285.1,440.6,348.5,499.7,810.2,124.9,422.1,264.4,194.2,326.4,331,357.5,496.1,380.3
,            April,209.6,387.6,282.2,1151.7,1361.8,674.7,414.4,498,224.3,452.8,240.7,209.6,423.7,286.4
,            May,269.4,414.9,328.7,561,1065.5,800.1,429.6,470.9,287.2,439.9,305.4,331.7,538.6,379.6
,            June,222.5,349.4,274.2,588.1,745.8,409.8,367.7,509.8,211.9,362.5,255.5,393.3,508.1,344.7
,            July,230.7,405.7,302,627.5,704.7,421.9,366.7,0,232.2,326.8,320.4,283.1,553.9,373.9
,            August,204.9,350.1,264.1,652,1164.5,503.5,359.2,603.2,210.2,414.2,300.4,270.3,573.9,362.9
,            September,204.5,388.7,279.6,1286.3,1010.7,683.1,398.9,599.3,216.2,453.4,349.3,346.8,555.2,408.6
,            October,255.4,423.9,324.1,693.1,1319.4,1612.6,405.2,0,261.1,459.2,401.3,319.5,656.9,467.7
,            November,302.2,403,343.3,684.1,1088.8,267.5,393.5,0,223.3,388.1,360.6,308.5,735.4,473.7
,            December,314.4,453.2,371,1542.7,1071.2,763.9,392.2,451.7,226.9,481.6,422.5,370.4,590.1,454.2

,2008   January,317.3095165622896,390.11477019594685,346.99298734372644,537,1893.1,374.1849060125504,421.250611438833,485.44560673830165,234.51159752543114,469.5065691242293,460.4481657642136,455.8566312766219,590.2529795152251,508.89194244779236
,            February,312.38921167474126,447.07100005290334,367.3003991315029,0,1333.3,747.2971217850715,391.9315405275077,496.01191256534884,188.22786367976192,362.91852138235924,277.03634973482883,482.5222536065878,627.8369933901503,412.0350218736293
,            March,421.29600233029356,520.3835387926707,461.6950373805032,826.4,1304.2,774.6114306787792,579.5150627189511,755.9814427281788,197.8973798791839,454.25814723715774,340.17286088832583,278.43286239945104,670.1274348725411,404.6542113654027
,            April,364.1754021189374,427.09694683832106,389.8291803970651,1548.9,1759.9,2167.6592359193164,455.25931310722603,503.184919216832,221.6006294737664,587.15283327146,309.92781519002125,336.44831249968973,541.8489921067594,377.23930746369547
,            May,317.4405793550058,410.0192275352627,355.1858719141292,1016,1497.3,903.5169718009121,502.0072871367101,1005.5951641889777,258.4923015251794,551.9974944490701,305.18940245246336,206.5507292155355,672.6313215584365,392.83208215471393
,            June,301.89271768077094,444.67125784072766,360.10503634639826,1046.8,1981.7,864.7129409819154,413.84307590533183,526.0629655635385,180.64374775441135,520.6776867293547,334.0062258936423,337.22177208368447,612.546128695437,412.3138965663213
,            July,319.6146429102672,465.784623261948,379.20968755806865,1115.7,1038.1,1697.343857648691,595.1000281450698,643.7137508037338,265.6194882704074,533.2215023115241,378.62886800159464,330.2951723719893,693.4882985706272,448.53267086065546
,            August,297.62687303757156,402.43570434401573,340.3585404166293,2102.4,1309,2510.66125865784,533.7136437452735,387.7963463018912,175.34773603805596,584.754882539966,280.9323551811711,274.58855896204324,633.0671713036868,372.93462486363967
,            September,306.59187439689117,435.2587142557188,359.0507038202077,831.8,1504.6,2309.0526293421954,533.7665998090989,26.071026828615107,246.21787174977453,521.9850929921473,338.33817177871623,270.7529746337426,704.1175449630273,448.45499842604477
,            October,325.9112311704796,420.4015649510522,364.43593813760435,589.8,1238.7,3620.279105481675,565.8313808477449,702.9143324133845,268.22353327618043,533.8940286375416,300.7736911616682,453.47941311044514,733.7342607919679,430.77878954321756
,            November,277.92075565645246,391.040083800794,324.040700361048,593,652.2,2428.086723937375,307.9910853010243,367.99614652110415,232.00166798852794,426.0482821463231,260.3951651600747,285.72955258305217,604.472389825303,346.7064893503158
,            December,342.0932396099935,464.8090148745106,392.1257571507565,815.8,823,731.0422359294231,552.2892432250934,87.70716384554798,235.8841851720222,386.53047281601965,358.5999698955005,950.8702245489568,556.1250424062314,510.67763804116646
